# ----------------------------------------
# All Web Site Data
# New Statistics with Chuck
# 20190924-20190930
# ----------------------------------------

New Statistics with Chuck (Content Group),Pageviews
rockville-centre-historic-school-photographs,4
saratoga-springs-public-library,4
schenectady-new-york-street-scenes,4
schuelke-collection,4
skaneateles-library-association,4
srmtenv,4
stamford-village-library,4
state-university-new-yorkoneonta-james-m-milne-library,4
suckley-family-world-war-i-collection,4
suny-adirondack-community-college-library,4
syracuse-central-high-school-archives,4
thatcher-glass-manufacturing-company-collection,4
thousand-islands-arts-center,4
thousand-islands-museum,4
time_period/1810,4
tomkins-cove-ny-history-collection,4
town-clifton-park-history-collection,4
tugboats-workhorses-hudson,4
tuxedo-park-photo-albums,4
union-college-frank-santaro-postcard-collection,4
university-hospital,4
university-rochester-medical-center-edward-g-miner-library,4
victor-hammer-collection,4
voorheesville-public-library,4
western-new-york-county-atlases,4
westinghouse-family-papers,4
YBM002,4
yellow-fever-collection,4
1913-watervliet-flood,3
27th-division-world-war-two,3
als,3
bethpage-historical-collection,3
bryant-historic-postcards,3
canal-society-new-york-state,3
canisius-college-andrew-l-bouwhuis-library,3
cchs,3
collection_type/photographs-correspondence,3
collection_type/photographs-correspondence/time_period/1870,3
collection_type/yearbooks?page=2,3
college-saint-rose-archives-yearbook-collection,3
colton-museum-and-historical-society,3
corning-community-college-yearbooks-collection,3
crain-family-papers,3
cranberry-lake-yearbooks,3
crane-school-music,3
field_alpha_sort/E,3
field_alpha_sort/F?page=6,3
field_alpha_sort/H?search_api_views_fulltext=huntington,3
field_alpha_sort/S?page=3,3
forsyth-family-collection,3
franklin-d-roosevelt-library,3
garden-city-public-library,3
george-nathan-newman-collection-photographs-vanished-and-vanishing-buffalo,3
glen-cove-public-library-photograph-collection,3
glens-falls-hometown-usa,3
great-neck-photographs-collection,3
harry-bruno-collection,3
hempstead-public-library,3
historic-huguenot-street-photographs-and-portraits,3
historic-ithaca,3
historic-postcards-new-rochelle,3
hofstra-university-hofstra-university-library,3
hudson-fulton-celebration-1909,3
hudson-valley-visual-art-collections-consortium,3
huntington-historical-photographs,3
huntington-political-cartoons,3
hyde-hall,3
images-rockland-county,3
james-milne-suny-oneonta,3
jamestown-and-olean-ny-city-directories-1875-1916,3
john-b-jervis-drawings,3
ken-spooner-collection,3
kent-historical-society-digital-collection,3
kingston-ibm-years,3
marlboro-ny-history-collection,3
martha-blow-wadsworth-photograph-collection,3
massapequa-library-history-collection,3
max-reinhardt-collection,3
mining-collection,3
misci-museum-innovation-and-science,3
mmscl-maps,3
new-york-central-stations-buffalo-ny-scrapbook,3
new-york-paris-race,3
newburgh-heritage-collection,3
newsletters-cary-institute-ecosystem-studies,3
nickell-snake-oil-collection,3
nyack-turnpike-maps-and-documents,3
nyh_topic/community-events?page=42,3
nyh_topic/daily-life,3
nyh_topic/education/time_period/1890/time_period/1900/collection_type/yearbooks,3
nyh_topic/ethnic-groups,3
nyh_topic/government-law-politics?page=6,3
nyh_topic/military-war,3
nyh_topic/people,3
old-main-suny-oneonta,3
p15281coll1,3
p16694coll111,3
p16694coll70,3
palisades-interstate-park-commission,3
paul-smiths-college-collection,3
pchs,3
plattekill-historical-society,3
reher-center-collection,3
reher-center-immigrant-culture-and-history,3
rochester-area-cemetery-records,3
rochester-area-church-records,3
roswell-p-flower-memorial-library,3
rudolf-steiner-library-anthroposophical-society,3
rudolf-steiner-library-anthroposophical-society-america,3
sacandaga-park-ny-postcard-collection,3
south-mountains-collection,3
state-university-new-york-potsdam-college-libraries,3
suny-new-paltz-college-yearbook-collection,3
time_period/1600,3
time_period/1600/time_period/1610,3
town-henrietta,3
twentieth-century-club-buffalo,3
union-college-aaron-j-feingold-judaica-collection,3
union-college-elizabeth-taylor-postcard-collection,3
war-1812-letters-young-mens-association,3
washingtonville-historic-photograph-collection,3
west-nyack-ny-history-collection,3
western-new-york-index,3
wivb-tv-television-news-film-and-video-archives,3
20th-century-remains-genesee-valley-canal,2
adirondack-experience,2
agricola-and-paysonian-yearbooks?fbclid=IwAR3ORndOKasz8ux-xIbPTcxj9Uz8rUugzLGR-CNLTXMyiTiq61reLEONpFo,2
agricola-and-paysonian-yearbooks?fbclid=IwAR3z5sihveyJsUs8-4WTE0F3OMwL_6G0pa_7ZhQ5T0_k-qySdOCv6ow5Fp4,2
alfred-university-postcard-collection,2
altamont-ny-history-collection,2
american-humane-association-be-kind-animals-poster-collection,2
antique-boat-museum,2
astorcol,2
atlas-hudson-river-valley-new-york-city-troy,2
bard-class-photos,2
barge-canal-construction-middle-division,2
blue-point-fire-department-collection,2
bpl_fsc,2
bpl_smp,2
brentwood-historical-collection,2
buffalo-museum-science,2
building-franklin-d-roosevelt-presidential-library,2
butler-family-papers,2
canisius-college-buildings-history-and-maintenance,2
chatham-school-photographs-1890-1940,2
chautauqua-county-historical-society,2
chemung-county-atlases,2
clarkson-university-history-collection,2
collection_type/photographs,2
collection_type/postcards,2
collection_type/scrapbooks,2
collection_type/yearbooks?page=3,2
collection_type/yearbooks?page=4,2
collection_type/yearbooks?page=5,2
collection_type/yearbooks?page=6,2
collection_type/yearbooks?page=7,2
collection_type/yearbooks?page=8,2
collection_type/yearbooks?search_api_views_fulltext=Ogdensburg+free+academy+1970-71+yearbook,2
cornwall-public-library,2
cortland-county-historical-society,2
county-atlas-ulster-new-york,2
dunham-public-library,2
dutchess-community-college-francis-u-and-mary-f-ritz-library,2
dyouville-college-architecture-buildings-grounds,2
earlville-free-library,2
early-history-potsdam,2
east-meadow-public-library,2
elizabeth-ryan-collection,2
elmira-college-women’s-rights-and-suffrage-collection,2
elon-howard-eaton-ornithology-collection,2
emporium-lumber-company-photograph-collection,2
endicott-area-newspapers,2
erieville-nelson-historic-collection,2
families-upstate-new-york,2
field_alpha_sort?page=97,2
field_alpha_sort?page=98,2
field_alpha_sort/B?page=1,2
field_alpha_sort/B?page=11,2
field_alpha_sort/B?page=4,2
field_alpha_sort/C?page=1,2
field_alpha_sort/C?page=11,2
field_alpha_sort/C?page=16,2
field_alpha_sort/C?page=17,2
field_alpha_sort/C?page=3,2
field_alpha_sort/C?page=4,2
field_alpha_sort/C?page=6,2
field_alpha_sort/C?search_api_views_fulltext=112th+NY+Civil+,2
field_alpha_sort/C?search_api_views_fulltext=112th+NY+Infantry+Civil+War,2
field_alpha_sort/C?search_api_views_fulltext=cradle+of+aviation,2
field_alpha_sort/E?page=1,2
field_alpha_sort/E?search_api_views_fulltext=ECKER,2
field_alpha_sort/E?search_api_views_fulltext=erie+canal+&=Go,2
field_alpha_sort/F/nyh_topic/education,2
field_alpha_sort/F/nyh_topic/education?page=1,2
field_alpha_sort/H?page=8,2
field_alpha_sort/H?search_api_views_fulltext=huntington+historical+society,2
field_alpha_sort/H/nyh_topic/people?page=2,2
field_alpha_sort/H/nyh_topic/people?page=3,2
field_alpha_sort/L,2
field_alpha_sort/L?page=5,2
field_alpha_sort/M?page=1,2
field_alpha_sort/M?page=6,2
field_alpha_sort/M?search_api_views_fulltext=Adirondack+Maps,2
field_alpha_sort/N?page=3,2
field_alpha_sort/N/nyh_topic/military-war,2
field_alpha_sort/O?page=1,2
field_alpha_sort/Q,2
field_alpha_sort/R?page=2,2
field_alpha_sort/R?search_api_views_fulltext=Rockville+Centre,2
field_alpha_sort/S?page=2,2
field_alpha_sort/S?page=4,2
field_alpha_sort/S?page=5,2
field_alpha_sort/S/nyh_topic/education,2
field_alpha_sort/T,2
field_alpha_sort/T/nyh_topic/education,2
field_alpha_sort/W,2
field_alpha_sort/Y,2
field_alpha_sort/Y?search_api_views_fulltext=SUNY+New+Paltz,2
fort-orange-collection,2
ge-research-lab-photographs,2
general-electric-photographs,2
genesee-community-college-history,2
geneva-public-library,2
glen-cove-historic-postcards,2
golden-age-st-lawrence,2
greene-county-libraries-association?fbclid=IwAR1lp2AmF0dZvAEacV11isyLKU1GUiJzJ7gztZnCHxhLFsiUyVl21YfI4_U,2
grn,2
groundbreaking-health-sciences-library,2
half-hollow-hills-historic-melville,2
hardy-family-photographs,2
harrisville-central-school-yearbooks,2
hasbroucks-locust-lawn,2
herbert-pratt-estate-collection,2
highland-hospital-school-nursing-scrapbooks,2
hilbert-college-mcgrath-library,2
historic-bayport-snapshots-time,2
historical-photographs-east-rockaway,2
hobart-and-william-smith-colleges,2
hudson-river-night-boat-collection,2
huntington-documents,2
huntington-historical-maps,2
huntington-postcard-collection,2
ingraham-p-smith-collection,2
john-scott-postcard-collection,2
jones-collection,2
joseph-h-treyz-collection-civil-war-patriotic-envelopes,2
judicial-portrait-collection,2
kay-flickinger-dockstader-papers&from=,2
lake-placid-public-library,2
lantern-slides-palisades-interstate-park-commission,2
lewis-h-brown-collection,2
library-association-rockland-county,2
library-association-rockland-county-new-city-library,2
library-association-rockland-county-pearl-river-library,2
library-association-rockland-county-tomkins-cove-public-library,2
locust-historical-collection,2
long-island-airfields,2
manhasset-public-library,2
Manhasset-Public-Library,2
mason-malone-collection,2
maverick-musicians-portraits,2
maybrook-railroad-museum,2
mfl,2
military-memories-veterans-voices-oral-history-collection,2
miner-institute-blueprints-and-maps-collection,2
mmscl-vertical-files,2
mohawk-valley-boy-scouts-collection,2
montauk-historical-postcards,2
montauk-library,2
nathan-s-kline-institute-history-collection,2
national-freedman,2
