,2
katherine-deyo-cookingham-downer-collection,1
kathleen-oser-collection,5
kay-flickinger-dockstader-papers-1910-1995,18
keene-historic-photographs,1
keene-valley-library,7
ken-spooner-collection,19
kenneth-r-dorn-regional-history-study-center-david-f-nestle-memorial-collection,2
kent-historical-society-digital-collection,30
keuka-college-lightner-library,7
kingston-ibm-years,6
kirkland-town-library,5
kirkland-town-library-art-collection,1
knight-collection,4
l-jameson-glass-plate-negative-collection,3
la-bella-america-old-country-north-country,5
lake-placid-north-elba-historical-society,7
lake-placid-olympic-museum,2
lake-placid-public-library,12
lake-placid-public-library-photograph-archive,8
lake-view-cemetery-records,101
lantern-slides-palisades-interstate-park-commission,2
laura-abigail-gosline-scrapbook,2
league-women-voters-amherst,1
league-women-voters-buffalo-niagara,3
lenox-memorial-hospital-collection,5
leo-h-bock-lynbrook-photo-collection,6
leonard-family,2
levittown-history-collection,47
levittown-public-library,11
lewis-h-brown-collection,3
liberator,12
liberty-high-school-library,14
liberty-high-school-yearbooks,11
library-association-rockland-county,19
library-association-rockland-county-haverstraw-kings-daughters-public-library,6
library-association-rockland-county-nanuet-public-library,3
library-association-rockland-county-new-city-library,25
library-association-rockland-county-palisades-free-library,1
library-association-rockland-county-pearl-river-library,2
library-association-rockland-county-suffern-free-library,1
library-association-rockland-county-tappan-library,3
library-association-rockland-county-tomkins-cove-public-library,2
library-association-rockland-county-valley-cottage-library,6
library-association-rockland-county-west-nyack-library,1
library-history-collection,4
lily-dale-postcards,21
lincoln-auditorium-central-high-school-programs-collection,14
lisbon-central-school-yearbooks,187
little-falls-camera-club-collection,5
little-falls-public-library,8
little-falls-public-library-collection,6
liverpool-public-library,28
liverpool-yearbook-collection,26
local-history-room-map-collection,10
locust-grove-estate,5
locust-historical-collection,12
locust-valley-library,19
long-beach-bridge-construction-photographs,4
long-beach-high-school-yearbooks-1925-1977,3
long-beach-public-library,17
long-beach-public-library-collection,2
long-beach-public-schools,3
long-island-airfields,23
long-island-historic-postcard-collection,12
long-island-library-resources-council,2
long-island-manufacturers,23
long-island-maritime-museum,2
long-island-maritime-museum-local-history-photographs,1
long-island-postcard-collection,7
longwood-historic-photographs,7
longwood-public-library,11
love-canal-images,54
lumber-camp-mission-slide-collection,7
lydia-sayer-hasbrouck-dress-reform-collection,6
mabel-addis-oral-history-collection,17
macedon-public-library,7
madison-county-atlases,8
madrid-waddington-central-school-yearbooks-collection,91
mag-artifacts-and-memorabilia,1
main-street-businesses-middleburgh-new-york,5
major-william-welch-document-collection,8
manhasset-photograph-collection,14
manhasset-public-library,13
Manhasset-Public-Library,8
manlius-library,23
margaret-hort-trudeau-sanatorium-photograph-collection,12
margaret-woodbury-strong-papers-1897-1969,3
maria-college,42
maria-college-anniversary-collection,8
maria-college-digital-collection,7
maria-college-mariale-literary-magazine,2
maria-college-occupational-therapy-department-assistive-device-collection,5
maria-college-promarian-newsletter,7
maris-b-pierce-papers,8
mark-twain-collection,44
marlboro-free-library,2
marlboro-ny-history-collection,9
martha-blow-wadsworth-photograph-collection,8
marty-himes-racing-collection,5
mary-d-burnham-papers,1
mason-malone-collection,4
massapequa-library-history-collection,21
massapequa-public-library,130
massena-central-school-yearbooks-collection,371
masten-park-high-school-chronicle-yearbooks,44
mastics-moriches-shirley-community-library,35
materials-related-gallerys-1913-inaugural-year,1
mathias-oppersdorff-adirondack-faces-photograph-collection,1
maureen-osullivan-cushing-collection-maria-college-albany-ny,70
maurice-leyden-collection,2
maverick-festival-collection,3
maverick-musicians-portraits,4
maverick-sunday-concerts-programs,1
max-reinhardt-collection,4
maybrook-railroad-museum,17
maybrook-switching-terminal-collection,5
mcbride-street-campus,8
mcgraw-historical-society,9
mechanicville-district-public-library,2
mendon-public-library,9
merrick-historical-photographs,58
merrick-historical-postcards,2
merrick-library,24
middleburgh-library,4
militia-enrollment-scrapbook-1888-1917,4
milton-price-and-tomlin-art-co-postcard-collection,6
miner-institute,3
miner-institute-blueprints-and-maps-collection,2
mining-collection,9
minutes-network-religious-communities-nrc-and-predecessor-organizations,16
miscellaneous-objects,3
misci-museum-innovation-and-science,58
mmscl-books-and-documents,2
mmscl-maps,12
mmscl-oral-histories,3
mmscl-vertical-files,1
moffat-library-washingtonville,21
mohawk-valley-boy-scouts-collection,14
montauk-fishing-collection,4
montauk-land-use-and-development,3
montauk-library,17
montauk-social-life-customs-and-community-organizations,1
morristown-central-school-yearbooks,35
moss-lake-camp-photograph-collection,21
mountain-top-library-digital-collection,6
murder-pamphlet-collection,5
murder-pamphlet-collection-full-text,7
museum-disability-history-–-project-people-inc,2
museum-village,3
museum-village-artifact-collection,1
n-triple-scene,1
nancy-edwards-collection,1
nanuet-ny-history-collection,7
naples-library,3
naples-public-library-manuscripts-and-documents,3
naples-public-library-postcard-collection,9
nassau-free-library,1
nathan-s-kline-institute-history-collection,5
nathan-s-kline-institute-psychiatric-research,18
national-anti-slavery-standard,13
national-freedman,10
natural-disasters-schenectady-county,17
nazareth-college,21
nazareth-college-gleaner-collection,187
nazareth-college-photograph-collection,6
nazareth-college-poster-collection,1
nazareth-college-yearbooks-collection,19
nccc-annual-reports,10
nccc-briefs,2
nccc-commencement-ceremony-programs,3
nccc-scrapbooks,1
nccc-yearbooks,30
nehasane-park-photograph-collection,36
network-religious-communities,31
new-atlas-city-plattsburgh-ny-1916,1
new-city-library-image-collection,2
new-city-library-oral-history-collection,1
new-hartford-public-library,4
new-national-era,38
new-paltz-town-records,7
new-paltz-town-records-digital-collection,6
new-rochelle-oral-history-collection,6
new-rochelle-public-library,58
new-woodstock-free-library,4
new-york-central-college,9
new-york-central-stations-buffalo-ny-scrapbook,17
new-york-chiropractic-college-new-york-chiropractic-college-museum,7
new-york-chiropractic-historical-people,3
new-york-ordnance-works-collection,47
new-york-paris-race,20
new-york-state-assemblyman-grant-w-johnson-and-adirondack-northway-0,1
new-york-state-military-museum-and-veterans-research-center,57
new-york-state-womens-suffrage-exhibition-collection,13
newark-area-history-and-views,15
newark-public-library,3
newark-public-library-history,1
newburgh-1916-assessment-photographs,9
newburgh-free-library,54
newburgh-free-library-historic-images-and-documents,11
newburgh-glebe-documents,1
newburgh-heritage-collection,23
newburgh-historical-society,6
newburgh-municipal-records,5
newsletters-cary-institute-ecosystem-studies,2
niagara-county-community-college-henrietta-g-lewis-library,17
niagara-county-community-college-yearbooks,8
niagara-county-historical-society,22
niagara-university,4
nickell-collection-dr-rv-pierce-medical-artifacts,75
nickell-snake-oil-collection,5
nikolai-nikolaevich-aleksandrov-historical-photograph-collection,10
nioga-library-system,11
nioga-library-system-lewiston-public-library,7
nioga-library-system-lockport-public-library,23
nioga-library-system-niagara-falls-public-library,28
normal-leader,33
north-country-community-college-north-country-community-college-libraries,23
north-country-underground-railroad-historical-association,2
north-star,49
northport-east-northport-photograph-collection,121
northport-east-northport-postcard-collection,45
northport-east-northport-public-library,95
northville-public-library,2
norwood-norfolk-central-school-yearbooks,113
ny-ontario-western-railway-photographs,26
nyack-high-school-yearbooks,4
nyack-library,44
nyack-library-local-history-collection,3
nyack-library-oral-history-collection,5
nyack-turnpike-maps-and-documents,5
nyh-topic/community-events-3065/collection_type/yearbooks/privacy/time_period/1860/nyh_topic/agriculture,2
nyh-topic/community-events-3065/collection_type/yearbooks/time_period/1920/privacy/nyh_topic/arts-entertainment/field_alpha_sort/D/terms,2
nyh-topic/community-events-3065/collection_type/yearbooks/time_period/1920/privacy/privacy,2
nyh-topic/community-events-3065/field_alpha_sort/1/nyh_topic/transportation/terms/time_period/1890,2
nyh-topic/community-events-3065/field_alpha_sort/1/nyh_topic/transportation/terms,2
nyh-topic/community-events-3065/field_alpha_sort/1/privacy/time_period/1880/terms/time_period/1880/time_period/1780,2
nyh-topic/community-events-3065/field_alpha_sort/1/privacy,2
nyh-topic/community-events-3065/field_alpha_sort/1/terms/field_alpha_sort/W/nyh_topic/business-industry,2
nyh-topic/community-events-3065/field_alpha_sort/1/terms/nyh_topic/community-events/nyh_topic/daily-life,2
nyh-topic/community-events-3065/field_alpha_sort/1/terms/nyh_topic/ethnic-groups/time_period/1970,2
nyh-topic/community-events-3065/field_alpha_sort/1/terms/time_period/1990,2
nyh-topic/community-events-3065/field_alpha_sort/1/terms,2
nyh-topic/community-events-3065/field_alpha_sort/1/time_period/1820/privacy/time_period/1930,2
nyh-topic/community-events-3065/field_alpha_sort/B/nyh_topic/arts-entertainment/terms/time_period/1880/time_period/1970/time_period/1940,2
nyh-topic/community-events-3065/field_alpha_sort/B/nyh_topic/community-events/privacy,2
