"Council","InstitutionID","InstitutionName","CollectionAlias","Pageviews"
"Long Island Library Resources Council","LILRC019","Historical Society of East Rockaway and Lynbrook","p16373coll85",1013
"Long Island Library Resources Council","LILRC020","Hofstra University - Hofstra University Library","p15281coll19",1032
"Long Island Library Resources Council","LILRC021","Huntington Public Library","p15281coll66",56
"Long Island Library Resources Council","LILRC022","Huntington Town Clerk's Archives","p16373coll130",959
"Long Island Library Resources Council","LILRC023","Jericho Public Library","p15281coll104",385
"Long Island Library Resources Council","LILRC024","Levittown Public Library","p15281coll37",557
"Long Island Library Resources Council","LILRC025","Webb Institute - Livingston Library","p16373coll59",51
"Long Island Library Resources Council","LILRC026","Locust Valley Library","p15281coll38",199
"Long Island Library Resources Council","LILRC028","Long Island Maritime Museum","p16694coll77",3
"Long Island Library Resources Council","LILRC029","Longwood Public Library","p15281coll75",448
"Long Island Library Resources Council","LILRC030","Massapequa Public Library","p16373coll50",1435
"Long Island Library Resources Council","LILRC031","Mastics-Moriches-Shirley Community Library","p16694coll63",1338
"Long Island Library Resources Council","LILRC032","Merrick Library","p16694coll72",1338
"Long Island Library Resources Council","LILRC033","Montauk Library","p15281coll78",123
"Long Island Library Resources Council","LILRC034","Northport-East Northport Public Library","p15281coll76",1225
"Long Island Library Resources Council","LILRC035","Pierson Middle School","p15281coll34",7
"Long Island Library Resources Council","LILRC036","Plainview Old Bethpage Public Library","p15281coll59",333
"Long Island Library Resources Council","LILRC037","Port Jefferson Free Library","p15281coll60",8
"Long Island Library Resources Council","LILRC038","Port Washington Public Library","p16373coll122",1332
"Long Island Library Resources Council","LILRC039","Rockville Centre Public Library","p15281coll33",1160
"Long Island Library Resources Council","LILRC040","Stony Brook University - Stony Brook University Libraries","p15281coll35",16
"Long Island Library Resources Council","LILRC041","The Smithtown Library","p15281coll36",4
"Long Island Library Resources Council","LILRC042","Farmingdale State College - Thomas D. Greenley Library ","p16694coll78",306
"Long Island Library Resources Council","LILRC043","West Hempstead Public Library","p16373coll115",763
"Long Island Library Resources Council","LILRC044","Westbury Memorial Public Library","p15281coll58",104
"Long Island Library Resources Council","LILRC045","Manhasset Public Library","p16694coll79",1232
"Long Island Library Resources Council","LILRC046","Oceanside Library","p16694coll83",12201
"Long Island Library Resources Council","LILRC052","Long Beach Public Library","p16694coll113",304
"Long Island Library Resources Council","LILRC055","Cradle of Aviation Museum","/p16694coll109",0
"Long Island Library Resources Council","LILRC056","Whaling Museum and Education Center","p16694coll115",437
"Long Island Library Resources Council","LILRC057","Sayville Library","/p16694coll130",0
"Long Island Library Resources Council","LILRC058","Wantagh Preservation Society","p16694coll122",17
"Long Island Library Resources Council","LILRC061","South Huntington Public Library","p11694coll131",0
"Long Island Library Resources Council","LILRC60","Long Island Library Resources Council","/p16694coll116",0
"Central New York Library Resources Council","CLRC001","American Pomeroy Historic Genealogical Association","p16694coll35",2
"Central New York Library Resources Council","CLRC002","Baldwinsville Public Library","p16694coll10",26241
"Central New York Library Resources Council","CLRC003","Canal Society of New York State","p16694coll51",2200
"Central New York Library Resources Council","CLRC004","Canastota Public Library","p16694coll13",121
"Central New York Library Resources Council","CLRC005","Central New York Library Resources Council","p16694coll14",51
"Central New York Library Resources Council","CLRC006","Cazenovia College - Witherill Library","cazcoll01",4
"Central New York Library Resources Council","CLRC007","Chittenango Landing Canal Boat Museum","p16694coll57",177
"Central New York Library Resources Council","CLRC008","CNY Chapter National Railway Historical Society","p16694coll29",1402
"Central New York Library Resources Council","CLRC009","Crouse Health - Medical Library","p16694coll5",742
"Central New York Library Resources Council","CLRC010","Community Library of DeWitt & Jamesville","dewitt01",35
"Central New York Library Resources Council","CLRC011","Dunham Public Library","p16694coll38",11599
"Central New York Library Resources Council","CLRC012","Earlville Free Library","p16694coll11",104
"Central New York Library Resources Council","CLRC013","Erie Canal Museum","srr_ecm",1096
"Central New York Library Resources Council","CLRC014","Erieville-Nelson Heritage Society","srr_enhs",179
"Central New York Library Resources Council","CLRC015","Fayetteville Free Library","fayfre01",807
"Central New York Library Resources Council","CLRC016","Hamilton Public Library","srr_ham",184
"Central New York Library Resources Council","CLRC017","Holland Patent Free Library","srr_hpfl",18
"Central New York Library Resources Council","CLRC018","Holy Trinity Seminary","holytrin01",2
"Central New York Library Resources Council","CLRC019","Jervis Public Library","p16694coll17",840
"Central New York Library Resources Council","CLRC020","Little Falls Public Library","srr_lfpl",13
"Central New York Library Resources Council","CLRC021","Liverpool Public Library","livpub01",34364
"Central New York Library Resources Council","CLRC022","Manlius Library","p16694coll56",3630
"Central New York Library Resources Council","CLRC023","Onondaga County Public Library - Mundy Branch Library","srr_mundy",14
"Central New York Library Resources Council","CLRC024","New Hartford Public Library","p16694coll59",49
"Central New York Library Resources Council","CLRC025","Onondaga County Public Library - Central Library","srr_ocpl",807
"Central New York Library Resources Council","CLRC026","Oneida Public Library","srr_oneida",19832
"Central New York Library Resources Council","CLRC027","Onondaga Community College - Coulter Library","p16694coll6",536
"Central New York Library Resources Council","CLRC028","Oriskany Village Museum","p16694coll12",150
"Central New York Library Resources Council","CLRC029","Remsen Steuben Historical Society","srr_rshs",55
"Central New York Library Resources Council","CLRC030","Salina Free Library","salfree",25
"Central New York Library Resources Council","CLRC031","Skaneateles Historical Society","srr_skanhis",488
"Central New York Library Resources Council","CLRC032","Skaneateles Library Association","srr_skanlib",3
"Central New York Library Resources Council","CLRC033","Solvay-Geddes Historical Society","srr_sghs",144
"Central New York Library Resources Council","CLRC034","SUNY College of Environmental Science and Forestry - Moon Library","p16694coll25",2318
"Central New York Library Resources Council","CLRC035","SUNY Upstate Medical University - Health Sciences Library","sunyup01",456
"Central New York Library Resources Council","CLRC036","Syracuse Polish Home - Polish Heritage Library","srr_sph",43
"Central New York Library Resources Council","CLRC037","Syracuse University College of Law - Law Library","srr_sulaw",60
"Central New York Library Resources Council","CLRC038","Tromptown Historical Society","srr_tromp",51
"Central New York Library Resources Council","CLRC039","Utica College - Center for Historical Research","p16694coll58",735
"Central New York Library Resources Council","CLRC040","Utica Public Library","srr_utica",5523
"Central New York Library Resources Council","CLRC041","Utica School of Commerce","16694coll30",0
"Central New York Library Resources Council","CLRC042","Waterville Public Library","p16694coll18",301
"Central New York Library Resources Council","CLRC043","Wisdom Thinkers Network","p16694coll67",7
"Central New York Library Resources Council","CLRC044","Ilion Free Public Library","p16694coll85",409
"Central New York Library Resources Council","CLRC045","New Woodstock Free Library","p16694coll87",28
"Central New York Library Resources Council","CLRC046","Episcopal Diocese of Central New York","p16694coll95",3
"Central New York Library Resources Council","CLRC047","SUNY Polytechnic Institute - Cayan Library","p16694coll99",288
"Central New York Library Resources Council","CLRC048","Sculpture Space","p16694coll107",40
"Central New York Library Resources Council","CLRC049","Kirkland Town Library","p16694coll117",1
"Central New York Library Resources Council","CLRC050","Maxwell Memorial Library","p16694coll126",23641
"Central New York Library Resources Council","CLRC051","LaFayette Public Library","p16694coll128",181
"Central New York Library Resources Council","CLRC052","Mohawk Valley Community College","p16694coll127",1201
"Capital District Library Council","CDLC001","Albany College of Pharmacy and Health Sciences - Paul Byrnes '34 Archives","p17042coll3",739
"Capital District Library Council","CDLC002","Albany Institute of History and Art","aiha",130
"Capital District Library Council","CDLC003","Albany Law School","als",33
"Capital District Library Council","CDLC004","Albany Public Library","p16694coll26",969
"Capital District Library Council","CDLC005","Altamont Free Library","afl",28
"Capital District Library Council","CDLC006","Bethlehem Public Library","bpl",584
"Capital District Library Council","CDLC007","Capital District Library Council","cdlc",4
"Capital District Library Council","CDLC008","Clifton Park-Halfmoon Public Library","cphpl",1662
"Capital District Library Council","CDLC009","The College of Saint Rose - Neil Hellman Library","strose",161
"Capital District Library Council","CDLC010","Crandall Public Library","crandall",917
"Capital District Library Council","CDLC011","Dudley Observatory","dudleyo",71
"Capital District Library Council","CDLC012","Fort Plain Free Library","fpfl",36
"Capital District Library Council","CDLC013","Fulton-Montgomery Community College","fmcc",223
"Capital District Library Council","CDLC014","Galway Public Library","gwpl",9
"Capital District Library Council","CDLC015","Gloversville Public Library","p16694coll48",0
"Capital District Library Council","CDLC016","Greenwich Free Library","grn",44
"Capital District Library Council","CDLC017","Guilderland Public Library","gpl",2304
"Capital District Library Council","CDLC018","Hudson Valley Community College","hvcc",62
"Capital District Library Council","CDLC019","Maria College","maria",195
"Capital District Library Council","CDLC020","Mechanicville District Public Library","mdpl",3
"Capital District Library Council","CDLC021","Middleburgh Library","mbl",212
"Capital District Library Council","CDLC022","miSci - Museum of Innovation and Science","p16694coll20",4927
"Capital District Library Council","CDLC023","Nassau Free Library","nfl",6
"Capital District Library Council","CDLC024","New York State Military Museum and Veterans Research Center","nysmm",1417
"Capital District Library Council","CDLC025","Northville Public Library","nor",112
"Capital District Library Council","CDLC026","Rensselaer County Historical Society","p16694coll33",323
"Capital District Library Council","CDLC027","Rudolf Steiner Library of the Anthroposophical Society in America","nyrud",1472
"Capital District Library Council","CDLC028","The Sage Colleges","tsc",128
"Capital District Library Council","CDLC029","Saratoga Springs Public Library","sspl",166
"Capital District Library Council","CDLC030","Schenectady County Community College","sccc",69
"Capital District Library Council","CDLC031","Schenectady County Historical Society","p16694coll45",3157
"Capital District Library Council","CDLC032","Steinmetz Digital Collection of Schenectady","schmuse",819
"Capital District Library Council","CDLC033","Schuylerville Public Library","p16694coll41",157
"Capital District Library Council","CDLC034","Siena College","siena",209
"Capital District Library Council","CDLC036","Town of Ballston Community Library","tobcl",475
"Capital District Library Council","CDLC037","Union College","p16202coll7",1584
"Capital District Library Council","CDLC038","University at Albany, SUNY - Science Library","p16694coll62",30
"Capital District Library Council","CDLC039","Voorheesville Public Library","p16694coll64",236
"Capital District Library Council","CDLC040","Watervliet Public Library","xgy",108
"Capital District Library Council","CDLC041","William K. Sanford Town Library","xfr",6
"Capital District Library Council","CDLC042","SUNY Adirondack Community College Library","p16694coll88",15
"Capital District Library Council","CDLC043","Albany County Historical Association at Ten Broeck Mansion","p16694coll94",36
"Capital District Library Council","CDLC044","Troy Public Library","troypl",11
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB001",1617
"Western New York Library Resources Council","WNYLRC001","Buffalo and Erie County Public Library","VHB011",30209
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","VTP005",1235
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","VTP003",4837
"Western New York Library Resources Council","WNYLRC003","Buffalo History Museum","p16694coll2",46
"Western New York Library Resources Council","WNYLRC005","Buffalo Museum of Science","BSM001",674
"Western New York Library Resources Council","WNYLRC005","Buffalo Museum of Science","p16694coll2",46
"Western New York Library Resources Council","WNYLRC006","Buffalo Niagara Heritage Village","R6A001",2197
"Western New York Library Resources Council","WNYLRC007","Buffalo Olmsted Parks Conservancy","NYBFL",227
"Western New York Library Resources Council","WNYLRC008","Canisius College - Andrew L. Bouwhuis Library","p16694coll82",293
"Western New York Library Resources Council","WNYLRC009","Herschell Carrousel Factory Museum","NYCSN",552
"Western New York Library Resources Council","WNYLRC010","Center for Inquiry - Center for Inquiry Libraries","ZCQ001",234
"Western New York Library Resources Council","WNYLRC015","Chautauqua-Cattaraugus Library System - James Prendergast Library","VXU",737
"Western New York Library Resources Council","WNYLRC015","Chautauqua-Cattaraugus Library System - James Prendergast Library","VXU005",1658
"Western New York Library Resources Council","WNYLRC015","Chautauqua-Cattaraugus Library System - James Prendergast Library","VXU001",1858
"Western New York Library Resources Council","WNYLRC016","Chautauqua-Cattaraugus Library System - Lakewood Memorial Library","VXU",737
"Western New York Library Resources Council","WNYLRC017","Chautauqua-Cattaraugus Library System - Olean Public Library","VXU",737
"Western New York Library Resources Council","WNYLRC017","Chautauqua-Cattaraugus Library System - Olean Public Library","VXU001",1858
"Western New York Library Resources Council","WNYLRC019","Chautauqua County Historical Society","NYCCH",316
"Western New York Library Resources Council","WNYLRC020","D'Youville College - Montante Family Library","YJJ",65
"Western New York Library Resources Council","WNYLRC021","SUNY Erie Community College (SUNY Erie)","YJL",0
"Western New York Library Resources Council","WNYLRC022","Genesee Community College - Alfred C. O'Connell Library","YJA",24
"Western New York Library Resources Council","WNYLRC023","Hilbert College - McGrath Library","ykh",4
"Western New York Library Resources Council","WNYLRC025","Niagara County Historical Society","NYNCH",21
"Western New York Library Resources Council","WNYLRC025","Niagara County Historical Society","p16694coll2",46
"Western New York Library Resources Council","WNYLRC026","Niagara University","VVN001",428
"Western New York Library Resources Council","WNYLRC027","Nioga Library System - Lewiston Public Library","p15004coll9",4214
"Western New York Library Resources Council","WNYLRC029","Nioga Library System - Lockport Public Library","p15004coll9",4214
